epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,10.72,0.95416,1.38587,1.04362,0.8713,0.14773,0.7989,0.605,0.85879,2.73459,0.9153,0.000348867,0.000348867,0.000348867
24,11.1449,0.95486,1.3678,1.01788,0.87186,0.21429,0.78391,0.59949,0.85759,2.6473,0.91789,0.000351479,0.000351479,0.000351479
25,11.5703,1.00492,1.4216,1.12186,0.80942,0.28956,0.81549,0.6316,0.85018,2.56655,0.92553,0.000353012,0.000353012,0.000353012
26,12.0011,0.92601,1.24561,1.0911,0.81213,0.44318,0.84308,0.65782,0.85636,2.51526,0.9425,0.000353465,0.000353465,0.000353465
27,12.4306,0.92405,1.35326,1.05246,0.8292,0.50461,0.83855,0.63894,0.87125,2.43692,0.96944,0.000352837,0.000352837,0.000352837
28,12.8496,0.9477,1.25491,1.07641,0.84131,0.66133,0.87157,0.66049,0.87381,2.37034,0.98794,0.00035113,0.00035113,0.00035113
29,13.3393,0.98541,1.23139,1.08164,0.84131,0.66133,0.87157,0.66049,0.87381,2.37034,0.98794,0.000348343,0.000348343,0.000348343
30,13.7806,0.88811,1.28058,1.03705,0.80265,0.69209,0.87602,0.6787,0.89987,2.24864,1.00452,0.000344476,0.000344476,0.000344476
31,14.2318,0.90793,1.20148,1.01414,0.78789,0.68716,0.92155,0.69323,0.90558,2.13506,1.01942,0.00033953,0.00033953,0.00033953
32,14.6769,0.98017,1.22771,1.05515,0.84756,0.80005,0.94716,0.73032,0.86208,1.96814,0.99259,0.000333503,0.000333503,0.000333503
33,15.1001,0.97402,1.18967,1.11645,0.84756,0.80005,0.94716,0.73032,0.86208,1.96814,0.99259,0.000326396,0.000326396,0.000326396
34,15.6223,0.94663,1.13036,1.01986,0.80014,0.82699,0.92003,0.72734,0.8244,1.8029,0.97591,0.000315059,0.000315059,0.000315059
35,16.0538,0.92559,1.16787,1.0602,0.77002,0.93259,0.9094,0.72466,0.82426,1.67546,0.97797,0.000297061,0.000297061,0.000297061
36,16.4794,0.87129,1.07096,1.00468,0.72922,0.89166,0.85282,0.67526,0.81666,1.61551,0.97273,0.000279063,0.000279063,0.000279063
37,16.8916,0.92051,1.09625,1.02946,0.72922,0.89166,0.85282,0.67526,0.81666,1.61551,0.97273,0.000261065,0.000261065,0.000261065
38,17.3286,0.88231,1.14172,1.07623,0.70666,0.84262,0.82555,0.65754,0.81876,1.60625,0.96137,0.000243067,0.000243067,0.000243067
39,17.7677,0.97717,1.07227,1.09353,0.72169,0.89433,0.82956,0.65584,0.8477,1.5613,0.96494,0.000225068,0.000225068,0.000225068
40,18.2203,0.83208,0.97663,0.99951,0.72886,0.9007,0.83994,0.66468,0.85396,1.51028,0.97435,0.00020707,0.00020707,0.00020707
41,19.2232,0.77414,0.92476,1.00469,0.72886,0.9007,0.83994,0.66468,0.85396,1.51028,0.97435,0.000189072,0.000189072,0.000189072
42,19.6731,0.76614,0.961,0.93725,0.73388,0.93339,0.83384,0.65207,0.84536,1.48343,0.96521,0.000171074,0.000171074,0.000171074
43,20.1134,0.80022,0.97623,1.04171,0.76195,0.90463,0.84621,0.65987,0.83223,1.47231,0.9562,0.000153076,0.000153076,0.000153076
44,20.5658,0.76894,0.92721,0.96647,0.77113,0.91729,0.85361,0.67887,0.80985,1.44348,0.94347,0.000135077,0.000135077,0.000135077
45,20.983,0.72316,0.93758,0.96589,0.77113,0.91729,0.85361,0.67887,0.80985,1.44348,0.94347,0.000117079,0.000117079,0.000117079
46,21.4264,0.75302,0.959,0.95148,0.76487,0.93669,0.83685,0.67514,0.8051,1.40672,0.94215,9.9081e-05,9.9081e-05,9.9081e-05
47,21.9643,0.76968,1.01511,1.0241,0.78033,0.97574,0.84489,0.68485,0.80974,1.35566,0.94231,8.10828e-05,8.10828e-05,8.10828e-05
48,22.4002,0.70907,0.91346,0.9785,0.80243,0.95981,0.84489,0.68765,0.81674,1.28717,0.94522,6.30846e-05,6.30846e-05,6.30846e-05
49,22.8176,0.73977,0.93275,0.94862,0.80243,0.95981,0.84489,0.68765,0.81674,1.28717,0.94522,4.50864e-05,4.50864e-05,4.50864e-05
50,23.2654,0.71533,0.91154,0.96135,0.80584,0.96427,0.84489,0.68537,0.8132,1.22963,0.94486,2.70882e-05,2.70882e-05,2.70882e-05
