epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.484809,1.66903,3.82941,1.33179,0.02909,0.51412,0.03322,0.0147,1.56115,3.65332,1.16843,1.818e-05,1.818e-05,1.818e-05
2,0.891309,1.50783,3.9659,1.24538,0.04087,0.49626,0.04059,0.01587,1.48674,3.61223,1.14261,4.45501e-05,4.45501e-05,4.45501e-05
3,1.29734,1.55029,3.89515,1.29898,0.04118,0.49031,0.0612,0.02706,1.40304,3.59545,1.1086,6.98403e-05,6.98403e-05,6.98403e-05
4,1.79255,1.55357,3.84405,1.24649,0.03261,0.57024,0.08571,0.0509,1.05836,3.52679,0.97998,9.40506e-05,9.40506e-05,9.40506e-05
5,2.49686,1.20427,3.73722,1.10533,0.04106,0.75714,0.13317,0.08874,0.87341,3.43858,0.89947,0.000117181,0.000117181,0.000117181
6,2.93897,1.0565,3.48626,1.06126,0.03855,0.84048,0.15111,0.10498,0.86666,3.43385,0.889,0.000139232,0.000139232,0.000139232
7,3.42086,1.08146,3.35945,1.02674,0.0316,0.92857,0.21021,0.13983,0.95816,3.43378,0.90313,0.000160202,0.000160202,0.000160202
8,3.85758,1.01968,3.20681,1.02705,0.03083,0.92857,0.22905,0.15535,0.96753,3.4409,0.90814,0.000180093,0.000180093,0.000180093
9,4.31252,1.03715,3.06038,1.07057,0.02935,0.92857,0.31011,0.21765,0.86868,3.39891,0.88508,0.000198904,0.000198904,0.000198904
10,4.84664,0.99433,2.94466,1.04906,0.03149,0.96429,0.3663,0.26312,0.82604,3.39157,0.87462,0.000216635,0.000216635,0.000216635
11,5.29287,1.02816,2.85567,1.02679,0.02781,0.96429,0.41452,0.29707,0.83085,3.3751,0.87276,0.000233286,0.000233286,0.000233286
12,5.7389,0.94265,2.67915,1.01175,0.02378,0.89286,0.40325,0.28687,0.8746,3.3817,0.89544,0.000248857,0.000248857,0.000248857
13,6.17377,0.99217,2.48301,1.09133,0.03015,1,0.48229,0.35732,0.83003,3.31835,0.86179,0.000263348,0.000263348,0.000263348
14,6.6008,1.125,2.28851,1.13209,0.03089,1,0.52553,0.39882,0.81332,3.29192,0.86305,0.00027676,0.00027676,0.00027676
15,7.04955,1.09061,2.19456,1.15957,0.02903,1,0.6485,0.4709,0.86827,3.23262,0.88545,0.000289091,0.000289091,0.000289091
16,7.5637,0.97405,1.74791,1.03021,0.02745,1,0.64761,0.47732,0.88487,3.20166,0.89295,0.000300343,0.000300343,0.000300343
17,8.00848,1.04668,1.81941,1.1396,0.02578,1,0.69737,0.53184,0.85923,3.11743,0.89065,0.000310514,0.000310514,0.000310514
18,8.45396,1.01044,1.59495,1.12053,0.02534,1,0.71289,0.55905,0.81881,3.05856,0.88592,0.000319606,0.000319606,0.000319606
19,8.89087,1.02522,1.58548,1.09609,0.02347,1,0.70484,0.56308,0.80536,3.01755,0.88195,0.000327618,0.000327618,0.000327618
20,9.34273,1.06092,1.53407,1.11188,0.82871,0.28833,0.70773,0.56082,0.81392,2.98941,0.89201,0.00033455,0.00033455,0.00033455
21,9.77864,0.96876,1.61922,1.04912,0.949,0.05309,0.71285,0.52794,0.84425,2.9295,0.90912,0.000340402,0.000340402,0.000340402
22,10.2816,1.07109,1.46922,1.1569,0.95836,0.07148,0.76715,0.57437,0.85436,2.83034,0.91821,0.000345175,0.000345175,0.000345175
