epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0702,1.40742,3.00601,1.74858,0.31833,0.2976,0.30269,0.15694,1.72687,3.53909,2.3427,0.000412879,0.000412879,0.000412879
2,23.0367,1.4059,2.23355,1.69396,0.41981,0.33784,0.37974,0.15806,1.91116,2.71703,2.47203,0.000788483,0.000788483,0.000788483
3,33.9235,1.42692,2.03641,1.72543,0.60538,0.51373,0.54907,0.24701,1.68729,2.3391,2.54134,0.00112284,0.00112284,0.00112284
4,44.9221,1.41208,1.88195,1.71486,0.50398,0.43109,0.46904,0.16625,2.10747,2.20044,2.74486,0.00106437,0.00106437,0.00106437
5,55.7146,1.40081,1.77825,1.69178,0.56316,0.64262,0.58721,0.31993,1.54316,1.98783,2.08161,0.0010025,0.0010025,0.0010025
6,66.6595,1.35223,1.61003,1.6463,0.79045,0.69844,0.81201,0.39467,1.72837,1.44255,2.21597,0.000940625,0.000940625,0.000940625
7,77.726,1.29856,1.51157,1.60709,0.82426,0.82881,0.83866,0.45179,1.36165,1.33159,1.94158,0.00087875,0.00087875,0.00087875
8,89.0876,1.27508,1.38876,1.57724,0.79665,0.74902,0.84583,0.52401,1.41355,1.16395,2.04321,0.000816875,0.000816875,0.000816875
9,100.346,1.26093,1.34409,1.56645,0.65382,0.74395,0.68911,0.36454,1.47198,1.74463,1.95871,0.000755,0.000755,0.000755
10,111.64,1.21469,1.27782,1.5244,0.80357,0.86866,0.88743,0.52695,1.3023,1.00435,1.78351,0.000693125,0.000693125,0.000693125
11,123.569,1.16821,0.97348,1.62994,0.78193,0.81576,0.86305,0.55715,1.18936,1.11244,1.77044,0.00063125,0.00063125,0.00063125
12,134.924,1.11715,0.84666,1.59804,0.85332,0.83776,0.87765,0.58701,1.20888,0.91577,1.74739,0.000569375,0.000569375,0.000569375
13,146.418,1.09983,0.77846,1.57123,0.84813,0.84065,0.88444,0.62351,1.06817,0.82371,1.64932,0.0005075,0.0005075,0.0005075
14,157.867,1.02854,0.71422,1.49972,0.87378,0.79537,0.89617,0.63048,1.08705,0.82385,1.59607,0.000445625,0.000445625,0.000445625
15,169.286,0.99218,0.6486,1.48459,0.87705,0.85255,0.88157,0.60686,1.01255,0.78865,1.58796,0.00038375,0.00038375,0.00038375
16,180.696,0.9616,0.6319,1.45359,0.84908,0.91124,0.8965,0.6583,0.96397,0.72542,1.48176,0.000321875,0.000321875,0.000321875
17,192.226,0.94615,0.59351,1.43119,0.85289,0.89691,0.92389,0.67449,0.97298,0.72605,1.44359,0.00026,0.00026,0.00026
18,203.632,0.89695,0.55852,1.38997,0.92024,0.924,0.94408,0.72339,0.90772,0.59755,1.37807,0.000198125,0.000198125,0.000198125
19,215.206,0.85059,0.52613,1.35007,0.89246,0.89174,0.91872,0.70018,0.9587,0.64526,1.42595,0.00013625,0.00013625,0.00013625
20,226.633,0.8349,0.50122,1.33696,0.88398,0.89144,0.9217,0.7115,0.8577,0.62322,1.3641,7.4375e-05,7.4375e-05,7.4375e-05
