epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7107,0.84207,3.6003,1.08825,0.69045,0.13047,0.14131,0.11816,0.72439,2.69675,1.01528,0.000157687,0.000157687,0.000157687
2,36.4259,0.81795,2.54171,1.06793,0.62579,0.29936,0.30402,0.24978,0.69881,2.06308,1.00145,0.000313222,0.000313222,0.000313222
3,53.9252,0.77971,2.05716,1.0453,0.66047,0.35237,0.44205,0.36406,0.71248,1.77595,1.02182,0.000465615,0.000465615,0.000465615
4,71.857,0.75172,1.78009,1.01945,0.72945,0.38174,0.47027,0.3814,0.73273,1.69023,1.00364,0.000461863,0.000461863,0.000461863
5,90.0414,0.73479,1.64361,1.01697,0.56816,0.55521,0.54472,0.45795,0.64396,1.3699,0.97475,0.00045715,0.00045715,0.00045715
6,108.11,0.71475,1.48658,1.00632,0.7058,0.54656,0.60554,0.50439,0.63345,1.30422,0.9648,0.000452438,0.000452438,0.000452438
7,126.126,0.69322,1.36484,0.98992,0.6853,0.55617,0.62546,0.53845,0.62442,1.1633,0.95815,0.000447726,0.000447726,0.000447726
8,144.108,0.66682,1.30489,0.98121,0.61262,0.56037,0.61822,0.52868,0.63353,1.21837,0.96272,0.000443013,0.000443013,0.000443013
9,162.229,0.65737,1.24719,0.98136,0.69452,0.54363,0.60341,0.51825,0.60266,1.11855,0.96743,0.000438301,0.000438301,0.000438301
10,180.375,0.64091,1.17937,0.97283,0.66501,0.64609,0.71087,0.62628,0.57798,1.03713,0.9367,0.000433588,0.000433588,0.000433588
11,198.59,0.61986,1.1468,0.96598,0.71902,0.52197,0.69444,0.61718,0.564,1.02691,0.92668,0.000428876,0.000428876,0.000428876
12,216.735,0.62819,1.11633,0.96656,0.76304,0.63496,0.73269,0.62804,0.5898,0.94597,0.94162,0.000424164,0.000424164,0.000424164
13,234.981,0.62578,1.05392,0.96258,0.74145,0.62373,0.73328,0.63928,0.55299,0.94579,0.92262,0.000419451,0.000419451,0.000419451
14,253.081,0.60328,1.01376,0.95772,0.72749,0.6628,0.78274,0.704,0.55739,0.89982,0.93196,0.000414739,0.000414739,0.000414739
15,271.362,0.59481,0.97986,0.95252,0.70514,0.65169,0.73053,0.65448,0.53646,0.91859,0.92586,0.000410026,0.000410026,0.000410026
16,289.626,0.59774,0.94485,0.94909,0.78557,0.66846,0.7994,0.71877,0.53267,0.80371,0.91811,0.000405314,0.000405314,0.000405314
17,307.885,0.5926,0.92464,0.9462,0.72605,0.66548,0.76599,0.68474,0.55948,0.86793,0.92945,0.000400602,0.000400602,0.000400602
18,326.149,0.58498,0.9302,0.94912,0.67224,0.71381,0.76522,0.66753,0.52499,0.86613,0.91297,0.000395889,0.000395889,0.000395889
