epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3901,1.40742,3.00601,1.74858,0.31833,0.2976,0.30269,0.15694,1.72687,3.53909,2.3427,0.000412879,0.000412879,0.000412879
2,22.2962,1.41096,2.25302,1.70313,0.64787,0.31947,0.42301,0.1909,1.77929,2.70737,2.38559,0.000821333,0.000821333,0.000821333
3,33.0806,1.44171,2.06497,1.73432,0.45798,0.43509,0.38956,0.12361,2.17207,3.18119,3.20567,0.00122154,0.00122154,0.00122154
4,43.9185,1.43593,1.96929,1.73934,0.46322,0.56938,0.52188,0.24274,1.68252,2.34618,2.2875,0.00121287,0.00121287,0.00121287
5,54.7268,1.42014,1.83138,1.71409,0.6046,0.40604,0.52324,0.26156,1.57795,2.32209,2.26866,0.0012005,0.0012005,0.0012005
6,65.5954,1.40292,1.6994,1.69236,0.78664,0.4604,0.60165,0.32628,1.43886,1.76989,2.02398,0.00118812,0.00118812,0.00118812
7,76.5611,1.38013,1.5796,1.66456,0.7355,0.58944,0.66264,0.32404,1.60127,1.59552,2.1845,0.00117575,0.00117575,0.00117575
8,87.619,1.34553,1.49951,1.63819,0.69445,0.63521,0.7065,0.41426,1.56482,1.41069,2.09371,0.00116337,0.00116337,0.00116337
9,98.8975,1.34476,1.46413,1.63822,0.77954,0.68012,0.78961,0.35127,1.80491,1.44748,2.32041,0.001151,0.001151,0.001151
10,109.988,1.29049,1.40018,1.58868,0.72961,0.76021,0.80813,0.4841,1.33628,1.22701,1.89816,0.00113863,0.00113863,0.00113863
11,121.23,1.30795,1.37883,1.59773,0.69172,0.68521,0.6789,0.41457,1.42335,1.34986,1.94158,0.00112625,0.00112625,0.00112625
12,132.448,1.27668,1.34708,1.58223,0.74992,0.76827,0.81112,0.51628,1.29758,1.13439,1.85255,0.00111388,0.00111388,0.00111388
13,143.796,1.2645,1.29275,1.57846,0.82153,0.82697,0.87675,0.5281,1.30242,1.11464,1.84369,0.0011015,0.0011015,0.0011015
14,155.158,1.26104,1.28584,1.57868,0.82275,0.75609,0.84516,0.50637,1.3568,1.11994,1.81724,0.00108913,0.00108913,0.00108913
15,166.41,1.23468,1.20977,1.53865,0.83186,0.81179,0.85673,0.50717,1.4258,0.9339,1.9199,0.00107675,0.00107675,0.00107675
16,177.737,1.25102,1.22273,1.55055,0.82819,0.69938,0.77245,0.50535,1.21449,1.0924,1.73904,0.00106437,0.00106437,0.00106437
17,189.078,1.20037,1.17897,1.52927,0.82005,0.86549,0.88053,0.61003,1.16661,0.91212,1.66328,0.001052,0.001052,0.001052
18,200.433,1.19107,1.16633,1.51586,0.8053,0.79495,0.8584,0.53696,1.24013,0.96266,1.72339,0.00103962,0.00103962,0.00103962
19,211.917,1.17703,1.11325,1.49958,0.88709,0.83807,0.89641,0.5808,1.36277,0.95206,1.81398,0.00102725,0.00102725,0.00102725
20,223.329,1.17028,1.11765,1.49483,0.84183,0.87823,0.89343,0.56692,1.21809,0.87308,1.70861,0.00101488,0.00101488,0.00101488
21,234.767,1.16122,1.07153,1.48507,0.74186,0.84608,0.83722,0.55011,1.1865,0.96717,1.75218,0.0010025,0.0010025,0.0010025
22,246.146,1.13136,1.03746,1.4582,0.85489,0.83343,0.86732,0.59651,1.16719,0.8452,1.62618,0.000990125,0.000990125,0.000990125
23,257.562,1.13633,1.03712,1.4572,0.80075,0.8305,0.87592,0.57747,1.17538,0.92301,1.63133,0.00097775,0.00097775,0.00097775
24,269.087,1.13777,1.04204,1.46693,0.82303,0.83855,0.85782,0.56627,1.14758,0.94563,1.66585,0.000965375,0.000965375,0.000965375
25,280.525,1.1177,0.98362,1.45009,0.82071,0.82626,0.83538,0.57197,1.11471,0.85762,1.64585,0.000953,0.000953,0.000953
