epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,476.71,0.97814,0.79437,1.34813,0.87345,0.89142,0.91913,0.65305,1.09971,0.73463,1.59953,0.000742625,0.000742625,0.000742625
43,488.529,0.98976,0.77415,1.343,0.90602,0.89938,0.89975,0.6223,1.05837,0.7118,1.58013,0.00073025,0.00073025,0.00073025
44,500.336,0.96932,0.76661,1.33888,0.91304,0.86021,0.91434,0.63459,1.04493,0.63706,1.53958,0.000717875,0.000717875,0.000717875
45,512.255,0.9597,0.75702,1.33707,0.87475,0.92505,0.91101,0.65611,1.06387,0.64566,1.52537,0.0007055,0.0007055,0.0007055
46,524.084,0.99405,0.77589,1.35468,0.86367,0.90651,0.90734,0.66817,0.97246,0.60381,1.51003,0.000693125,0.000693125,0.000693125
47,535.743,0.94784,0.76904,1.32679,0.93118,0.90709,0.93063,0.6697,1.00075,0.57745,1.53246,0.00068075,0.00068075,0.00068075
48,547.274,0.95137,0.75687,1.32336,0.88155,0.84944,0.90086,0.66494,1.14413,0.67033,1.62321,0.000668375,0.000668375,0.000668375
49,558.833,0.95825,0.73706,1.32466,0.91919,0.85481,0.90265,0.64027,1.02573,0.68034,1.53374,0.000656,0.000656,0.000656
50,570.463,0.92579,0.72521,1.30218,0.88218,0.8592,0.87882,0.61966,1.22145,0.71731,1.63928,0.000643625,0.000643625,0.000643625
51,582.022,0.93743,0.73397,1.32006,0.90355,0.91135,0.91288,0.66173,0.98843,0.58699,1.47946,0.00063125,0.00063125,0.00063125
52,593.475,0.9212,0.7025,1.29937,0.9014,0.90997,0.92691,0.69662,0.99555,0.55762,1.53344,0.000618875,0.000618875,0.000618875
53,604.97,0.92305,0.722,1.30476,0.8699,0.89931,0.90211,0.65165,1.09274,0.66618,1.57744,0.0006065,0.0006065,0.0006065
54,616.451,0.91546,0.7124,1.30512,0.89206,0.87376,0.9167,0.68434,0.97715,0.64315,1.5354,0.000594125,0.000594125,0.000594125
55,627.999,0.91666,0.69455,1.29551,0.87677,0.85324,0.90853,0.65959,1.01162,0.6416,1.54052,0.00058175,0.00058175,0.00058175
56,639.481,0.90624,0.69021,1.28505,0.88164,0.88059,0.90345,0.65569,0.99272,0.61339,1.52552,0.000569375,0.000569375,0.000569375
57,650.974,0.88168,0.67289,1.27367,0.85491,0.88158,0.90634,0.64544,1.06927,0.60331,1.56851,0.000557,0.000557,0.000557
58,662.514,0.86694,0.6794,1.26939,0.92512,0.91949,0.92054,0.66245,1.02494,0.58919,1.54816,0.000544625,0.000544625,0.000544625
59,674.054,0.88029,0.67221,1.27771,0.8847,0.9163,0.93193,0.68879,1.10571,0.62336,1.58804,0.00053225,0.00053225,0.00053225
60,685.548,0.87821,0.68111,1.28769,0.91175,0.87763,0.90705,0.68025,1.05365,0.61546,1.55009,0.000519875,0.000519875,0.000519875
61,697.056,0.86654,0.65261,1.26473,0.90219,0.88988,0.90547,0.66257,1.06632,0.61089,1.55275,0.0005075,0.0005075,0.0005075
