epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.773929,1.60612,3.89778,1.26327,0.05251,0.49286,0.04501,0.01677,1.45834,3.60622,1.13415,5.454e-05,5.454e-05,5.454e-05
2,1.22881,1.40687,3.75342,1.19487,0.03285,0.58095,0.05829,0.03566,1.14165,3.49162,0.98783,0.000106471,0.000106471,0.000106471
3,1.99652,1.14344,3.6047,1.04209,0.03156,0.63452,0.07708,0.05325,0.95828,3.45899,0.92138,0.000145804,0.000145804,0.000145804
4,2.57916,0.99589,3.46086,0.98702,0.03361,0.72381,0.15324,0.10749,0.8851,3.42635,0.8933,0.000172537,0.000172537,0.000172537
5,3.10471,1.0143,3.32707,0.99545,0.03861,1,0.22458,0.16997,0.87902,3.41007,0.88541,0.000186672,0.000186672,0.000186672
6,3.59929,0.8804,3.16793,0.93239,0.03131,1,0.29435,0.21906,0.85431,3.39285,0.87568,0.000188208,0.000188208,0.000188208
7,4.14415,0.86223,3.03099,0.9619,0.02974,1,0.35305,0.27308,0.81488,3.35303,0.86385,0.000177146,0.000177146,0.000177146
8,4.66555,0.92032,2.95342,0.98694,0.02545,1,0.41149,0.3255,0.77363,3.30423,0.84643,0.000153485,0.000153485,0.000153485
9,5.25658,0.8697,2.85822,0.95207,0.02296,1,0.48979,0.39265,0.77149,3.21943,0.84312,0.000117225,0.000117225,0.000117225
10,5.72767,0.88319,2.77642,0.96725,0.02296,1,0.48979,0.39265,0.77149,3.21943,0.84312,6.83659e-05,6.83659e-05,6.83659e-05
