epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9292,0.84207,3.6003,1.08825,0.69045,0.13047,0.14131,0.11816,0.72439,2.69675,1.01528,0.000157687,0.000157687,0.000157687
2,33.9576,0.8127,2.55131,1.06755,0.59249,0.2782,0.29012,0.23883,0.69068,2.1061,1.00982,0.00031009,0.00031009,0.00031009
3,49.7794,0.7705,2.06616,1.04145,0.58523,0.36558,0.41712,0.34117,0.71176,1.77205,1.00035,0.00045621,0.00045621,0.00045621
4,65.6405,0.75012,1.77353,1.01976,0.79466,0.36934,0.54072,0.4301,0.70703,1.54926,1.01352,0.000447726,0.000447726,0.000447726
5,81.5758,0.72889,1.6369,1.01626,0.74445,0.38924,0.54513,0.46813,0.66439,1.42998,0.9948,0.000438301,0.000438301,0.000438301
6,97.5299,0.70659,1.47125,1.00572,0.66598,0.4906,0.61487,0.52146,0.62994,1.24666,0.96437,0.000428876,0.000428876,0.000428876
7,113.495,0.68442,1.36344,0.98888,0.71456,0.55794,0.6391,0.54912,0.61218,1.14988,0.95931,0.000419451,0.000419451,0.000419451
8,129.283,0.65546,1.30091,0.97838,0.76475,0.56096,0.66726,0.57985,0.59607,1.07788,0.94894,0.000410026,0.000410026,0.000410026
9,145.371,0.65014,1.23317,0.98107,0.71228,0.56425,0.67995,0.60229,0.57805,1.03035,0.95105,0.000400602,0.000400602,0.000400602
10,161.45,0.62423,1.16824,0.96804,0.59719,0.64484,0.71212,0.63094,0.56215,1.00931,0.9366,0.000391177,0.000391177,0.000391177
11,177.606,0.61494,1.13759,0.96385,0.72923,0.61138,0.7329,0.64674,0.55441,0.93683,0.92756,0.000381752,0.000381752,0.000381752
12,194.009,0.61473,1.10102,0.96031,0.63142,0.71719,0.74634,0.65445,0.55736,0.93394,0.92831,0.000372327,0.000372327,0.000372327
13,210.378,0.6059,1.03586,0.95529,0.71061,0.68422,0.7599,0.67636,0.53246,0.90861,0.92203,0.000362902,0.000362902,0.000362902
14,226.69,0.59377,1.00186,0.95158,0.77839,0.6659,0.77093,0.68858,0.54285,0.86344,0.91827,0.000353478,0.000353478,0.000353478
15,243.108,0.58039,0.9671,0.9459,0.79329,0.69074,0.75549,0.66545,0.52633,0.88597,0.91851,0.000344053,0.000344053,0.000344053
16,259.584,0.5883,0.9362,0.94586,0.74285,0.68366,0.7613,0.67359,0.53413,0.89908,0.91548,0.000334628,0.000334628,0.000334628
17,276.085,0.57439,0.90478,0.9405,0.68823,0.76306,0.78798,0.70236,0.52339,0.81486,0.91464,0.000325203,0.000325203,0.000325203
18,292.513,0.56449,0.89763,0.94044,0.76329,0.71071,0.79657,0.70231,0.52814,0.81736,0.9176,0.000315778,0.000315778,0.000315778
19,309.031,0.55983,0.86734,0.93796,0.68053,0.78536,0.80969,0.73146,0.51016,0.78665,0.90047,0.000306354,0.000306354,0.000306354
20,325.666,0.55735,0.83923,0.93245,0.82325,0.67876,0.8003,0.72036,0.51164,0.77029,0.90321,0.000296929,0.000296929,0.000296929
21,342.071,0.54852,0.81828,0.92996,0.78958,0.75749,0.81553,0.73716,0.50558,0.76786,0.89794,0.000287504,0.000287504,0.000287504
22,358.527,0.53996,0.79143,0.92818,0.86482,0.69165,0.79855,0.72262,0.50734,0.755,0.90252,0.000278079,0.000278079,0.000278079
